"State","AirQualityIndex","Pop"
"Hawaii","21.2000","1406430"
"Alaska","29.1000","724357"
"Washington","33.5000","7796940"
"Oregon","36.1000","4289440"
"Maine","36.5000","1354520"
"Nebraska","37","1952000"
"North Dakota","37","770026"
"Iowa","37.6000","3167970"
"Minnesota","38.3000","5706400"
"Vermont","38.5000","623251"
"Florida","38.9000","21944600"
"New Hampshire","38.9000","1372200"
"Wisconsin","39.5000","5852490"
"Montana","39.6000","1085000"
"South Dakota","39.6000","896581"
"Louisiana","40.4000","4627000"
"New York","40.4000","19300000"
"Texas","41","29730300"
"Massachusetts","41.4000","6912240"
"Nevada","42.1000","3185790"
"New Mexico","42.1000","2105000"
"Michigan","42.5000","9992430"
"Kansas","42.8000","2917220"
"Arkansas","43.1000","3033950"
"Oklahoma","43.5000","3990440"
"Illinois","43.6000","12569300"
"Mississippi","43.7000","2966410"
"Rhode Island","43.7000","1061510"
"Missouri","44","6169040"
"New Jersey","44.1000","8874520"
"Idaho","44.3000","1860120"
"South Carolina","44.8000","5277830"
"Connecticut","45","3552820"
"Virginia","45","8603980"
"Wyoming","45","581075"
"Arizona","45.4000","7520100"
"Pennsylvania","45.6000","12804100"
"California","46","39613500"
"Kentucky","46.1000","4480710"
"Delaware","46.4000","990334"
"North Carolina","46.5000","10701000"
"Alabama","46.6000","4934190"
"Maryland","47","6065440"
"Colorado","47.1000","5893630"
"Indiana","47.5000","6805660"
"Tennessee","47.5000","6944260"
"West Virginia","47.6000","1767860"
"Georgia","48.2000","10830000"
"Ohio","48.2000","11714600"
"Utah","51.2000","3310770"
