Area,DeathCount,,,,,,
Colorado,7773,,,,,,
Utah,2279,,,,,,
Alaska,1202,,,,,,
Wyoming,1078,,,,,,
Tennessee,21442,,,,,,
Nevada,6658,,,,,,
Rhode Island,3062,,,,,,
Oregon,9702,,,,,,
Minnesota,11915,,,,,,
Montana,2530,,,,,,
Georgia,22450,,,,,,
Oklahoma,11832,,,,,,
Florida,58222,,,,,,
Texas,46454,,,,,,
Maryland,13215,,,,,,
Idaho,3122,,,,,,
North Carolina,27445,,,,,,
New Mexico,3595,,,,,,
South Dakota,2130,,,,,,
Missouri,19250,,,,,,
California,60423,,,,,,
Maine,4753,,,,,,
Kansas,7290,,,,,,
Hawaii,2798,,,,,,
Virginia,19163,,,,,,
District of Columbia,1095,,,,,,
Mississippi,9536,,,,,,
North Dakota,1575,,,,,,
West Virginia,7155,,,,,,
Delaware,2768,,,,,,
Arkansas,10306,,,,,,
Pennsylvania,36453,,,,,,
Iowa,8555,,,,,,
Kentucky,17030,,,,,,
South Carolina,13785,,,,,,
Alabama,15216,,,,,,
Vermont,1822,,,,,,
Arizona,13892,,,,,,
Washington,15011,,,,,,
Ohio,35508,,,,,,
New Jersey,19006,,,,,,
New Hampshire,3691,,,,,,
Nebraska,4383,,,,,,
New York,42144,,,,,,
Wisconsin,14350,,,,,,
Illinois,31839,,,,,,
Indiana,19589,,,,,,
Louisiana,13109,,,,,,
Massachusetts,16115,,,,,,
Michigan,28453,,,,,,
Connecticut,7969,,,,,,
