Location,Data_Value
Alabama,19.2
Alaska,19.1
Arizona,14
Arkansas,22.7
California,11.2
Colorado,14.5
Connecticut,12.2
Delaware,16.5
District of Columbia,13.8
Florida,14.5
Georgia,16.1
Guam,21.9
Hawaii,13.4
Idaho,14.7
Illinois,15.5
Indiana,21.1
Iowa,16.6
Kansas,17.2
Kentucky,23.4
Louisiana,20.5
Maine,17.8
Maryland,12.5
Massachusetts,13.4
Michigan,18.9
Minnesota,15.1
Mississippi,20.5
Missouri,19.4
Montana,18
Nebraska,16
Nevada,15.7
New Hampshire,15.6
New Jersey,13.1
New Mexico,15.2
New York,12.8
North Carolina,17.4
North Dakota,19.1
Ohio,20.5
Oklahoma,19.7
Oregon,15.6
Pennsylvania,17
Puerto Rico,10
Rhode Island,14.6
South Carolina,18
South Dakota,19
Tennessee,20.7
Texas,14.4
Utah,9
Vermont,13.7
Virginia,14.9
Washington,12
West Virginia,25.2
Wisconsin,16.4
Wyoming,18.8
,
